,owners
47705,0-20000
51539,0-20000
36666,0-20000
2770,200000-500000
17822,20000-50000
42846,0-20000
2978,200000-500000
42841,0-20000
31244,0-20000
24518,0-20000
35584,0-20000
23709,0-20000
23985,0-20000
8091,50000-100000
4151,100000-200000
10737,20000-50000
335,>1000000
45491,0-20000
32529,0-20000
46660,0-20000
44549,0-20000
7387,50000-100000
46622,0-20000
39705,0-20000
22191,0-20000
26805,0-20000
30747,0-20000
39382,0-20000
11688,20000-50000
57928,0-20000
57244,0-20000
55732,0-20000
44554,0-20000
19368,0-20000
27300,0-20000
728,>1000000
26973,0-20000
45044,0-20000
14679,20000-50000
20997,0-20000
5311,100000-200000
10501,50000-100000
37449,0-20000
22114,0-20000
54212,0-20000
56548,0-20000
5542,100000-200000
25970,0-20000
46527,0-20000
470,>1000000
32584,0-20000
22574,0-20000
40164,0-20000
12131,20000-50000
55979,0-20000
7887,50000-100000
55377,0-20000
33803,0-20000
16548,0-20000
268,>1000000
45764,0-20000
31690,0-20000
2399,200000-500000
48312,0-20000
43902,0-20000
14535,20000-50000
8430,50000-100000
42753,0-20000
27314,0-20000
35889,0-20000
37771,0-20000
30165,0-20000
36818,0-20000
2129,200000-500000
48523,0-20000
37385,0-20000
49679,0-20000
32874,0-20000
54193,0-20000
16250,20000-50000
12626,20000-50000
16167,20000-50000
42886,0-20000
27757,0-20000
17744,20000-50000
2982,200000-500000
40155,0-20000
8267,50000-100000
9522,50000-100000
19329,0-20000
47796,0-20000
50464,0-20000
7256,50000-100000
54100,0-20000
23310,0-20000
30293,0-20000
29638,0-20000
32844,0-20000
16701,20000-50000
33525,0-20000
58809,0-20000
55326,0-20000
22776,0-20000
32399,0-20000
53186,0-20000
39735,0-20000
15325,20000-50000
54711,0-20000
1892,500000-1000000
32333,0-20000
4777,100000-200000
2323,200000-500000
32951,0-20000
2515,200000-500000
14784,20000-50000
26244,0-20000
46737,0-20000
11044,20000-50000
32563,0-20000
54894,0-20000
47089,0-20000
18737,0-20000
55602,0-20000
19848,0-20000
53181,0-20000
55594,0-20000
53411,0-20000
33334,0-20000
26035,0-20000
15739,20000-50000
43878,0-20000
1078,500000-1000000
18888,0-20000
39928,0-20000
21736,0-20000
29727,0-20000
5347,100000-200000
28605,0-20000
44917,0-20000
29133,0-20000
55860,0-20000
2038,200000-500000
52349,0-20000
29341,0-20000
5226,100000-200000
37676,0-20000
31720,0-20000
25951,0-20000
25040,0-20000
8443,50000-100000
1149,500000-1000000
32559,0-20000
38570,0-20000
15278,20000-50000
36479,0-20000
21134,0-20000
52162,0-20000
8059,50000-100000
58630,0-20000
43047,0-20000
35470,0-20000
40625,0-20000
48816,0-20000
47783,0-20000
2045,200000-500000
482,>1000000
32707,0-20000
43258,0-20000
38077,0-20000
39108,0-20000
47016,0-20000
4803,100000-200000
38432,0-20000
23097,0-20000
10153,50000-100000
20875,0-20000
21035,0-20000
34849,0-20000
46331,0-20000
34414,0-20000
50060,0-20000
42174,0-20000
6762,50000-100000
15407,20000-50000
49245,0-20000
40670,0-20000
10130,50000-100000
14528,20000-50000
20092,0-20000
57684,0-20000
7938,50000-100000
44355,0-20000
50915,0-20000
23118,0-20000
45700,0-20000
19321,0-20000
28972,0-20000
12691,20000-50000
58430,0-20000
6433,100000-200000
5904,100000-200000
36330,0-20000
25288,0-20000
45855,0-20000
50466,0-20000
44166,0-20000
16988,20000-50000
52765,0-20000
38926,0-20000
30798,0-20000
4049,200000-500000
2221,200000-500000
51136,0-20000
50242,0-20000
22668,0-20000
54500,0-20000
53074,0-20000
51388,0-20000
58309,0-20000
58972,0-20000
26982,0-20000
40648,0-20000
29878,0-20000
5028,100000-200000
45761,0-20000
8852,50000-100000
7255,50000-100000
36208,0-20000
14155,20000-50000
20198,0-20000
33727,0-20000
6191,100000-200000
34348,0-20000
13658,20000-50000
9952,50000-100000
13309,20000-50000
13588,20000-50000
39212,0-20000
38567,0-20000
27025,0-20000
45565,0-20000
26647,0-20000
13545,20000-50000
18598,0-20000
25749,0-20000
23240,0-20000
51779,0-20000
7317,50000-100000
29165,20000-50000
3657,200000-500000
10945,20000-50000
41430,0-20000
35972,0-20000
18539,0-20000
23057,0-20000
43285,0-20000
1121,500000-1000000
1649,500000-1000000
43229,0-20000
37750,0-20000
52008,0-20000
703,>1000000
4027,200000-500000
16081,20000-50000
2228,200000-500000
30276,0-20000
18921,0-20000
36680,0-20000
12840,20000-50000
33542,0-20000
41870,0-20000
40930,0-20000
13886,20000-50000
24756,0-20000
41385,0-20000
10862,20000-50000
30362,0-20000
33612,0-20000
43004,0-20000
33603,0-20000
40235,0-20000
32339,0-20000
49965,0-20000
49612,0-20000
20867,0-20000
32240,0-20000
13446,20000-50000
8306,50000-100000
52532,0-20000
12170,20000-50000
42568,0-20000
36518,0-20000
8426,50000-100000
35850,0-20000
31719,0-20000
6106,100000-200000
36551,0-20000
17518,20000-50000
26405,0-20000
56055,0-20000
31411,0-20000
47984,0-20000
29872,0-20000
12454,20000-50000
26975,0-20000
33299,0-20000
2941,200000-500000
10054,50000-100000
51990,0-20000
53247,0-20000
43235,0-20000
33050,0-20000
15548,20000-50000
24679,0-20000
38525,0-20000
20162,0-20000
7911,50000-100000
18663,0-20000
44658,0-20000
18461,0-20000
40474,0-20000
47600,0-20000
45341,0-20000
19370,0-20000
14749,20000-50000
36926,0-20000
49458,0-20000
10928,20000-50000
34990,0-20000
15073,20000-50000
9263,0-20000
48338,0-20000
5079,100000-200000
43333,0-20000
12279,20000-50000
39171,0-20000
9987,50000-100000
51788,0-20000
49975,0-20000
5839,100000-200000
55445,0-20000
57906,0-20000
48077,0-20000
15125,20000-50000
16586,20000-50000
54555,0-20000
6873,50000-100000
8119,50000-100000
43722,0-20000
10294,50000-100000
44926,0-20000
9729,50000-100000
42414,0-20000
16629,20000-50000
35276,0-20000
21130,0-20000
8662,50000-100000
11463,20000-50000
22756,0-20000
22374,0-20000
54366,0-20000
17108,20000-50000
27695,0-20000
43132,0-20000
40445,0-20000
15727,20000-50000
36484,0-20000
36475,0-20000
34419,0-20000
44979,0-20000
12541,20000-50000
25188,0-20000
37429,0-20000
45493,0-20000
34634,0-20000
44834,0-20000
30375,0-20000
17516,20000-50000
9028,50000-100000
22168,0-20000
55199,0-20000
44514,0-20000
40788,0-20000
32504,0-20000
57434,0-20000
28811,0-20000
23108,0-20000
23977,0-20000
53083,0-20000
1455,500000-1000000
6444,100000-200000
27474,0-20000
697,>1000000
21253,0-20000
21095,0-20000
44518,0-20000
48325,0-20000
27568,0-20000
28564,0-20000
14040,20000-50000
51438,0-20000
44386,0-20000
54126,0-20000
55769,0-20000
29288,0-20000
8748,50000-100000
26705,0-20000
123,>1000000
1538,500000-1000000
53303,0-20000
43462,0-20000
53123,0-20000
28037,0-20000
55194,0-20000
27388,0-20000
39801,0-20000
43005,0-20000
39334,0-20000
7747,50000-100000
55363,0-20000
24065,0-20000
44144,0-20000
11545,50000-100000
16788,20000-50000
15759,20000-50000
16116,20000-50000
47648,0-20000
13697,20000-50000
22027,0-20000
7273,50000-100000
57163,0-20000
18714,0-20000
33239,0-20000
36936,0-20000
30884,0-20000
27865,0-20000
28013,0-20000
7129,50000-100000
43554,0-20000
20057,0-20000
12683,20000-50000
51635,0-20000
22878,0-20000
35484,0-20000
28900,0-20000
37872,0-20000
48378,0-20000
58458,0-20000
12636,20000-50000
17805,20000-50000
19904,0-20000
7571,50000-100000
51040,0-20000
47085,0-20000
4967,100000-200000
37204,0-20000
22457,0-20000
36171,0-20000
43355,0-20000
24201,0-20000
42523,0-20000
31064,0-20000
23791,0-20000
12574,20000-50000
11936,20000-50000
17770,20000-50000
34315,0-20000
45677,0-20000
30734,0-20000
18571,0-20000
7309,50000-100000
36709,0-20000
37487,0-20000
11549,20000-50000
19448,0-20000
46092,0-20000
20888,0-20000
4708,100000-200000
7577,50000-100000
36984,0-20000
12297,20000-50000
37132,0-20000
12870,20000-50000
53336,0-20000
14624,20000-50000
1688,500000-1000000
48263,0-20000
43567,0-20000
9721,50000-100000
1885,500000-1000000
43237,0-20000
30800,0-20000
7036,50000-100000
29837,0-20000
53594,0-20000
9135,50000-100000
11689,20000-50000
26700,0-20000
30435,0-20000
50084,0-20000
50888,0-20000
38322,0-20000
44789,0-20000
2873,200000-500000
58006,0-20000
41059,0-20000
28516,0-20000
40881,0-20000
19284,0-20000
58054,0-20000
37450,0-20000
11655,20000-50000
15961,20000-50000
30821,0-20000
14843,20000-50000
29061,0-20000
29456,0-20000
26515,0-20000
24336,0-20000
37167,0-20000
39927,0-20000
12756,20000-50000
42269,0-20000
54439,0-20000
2616,200000-500000
4398,100000-200000
8947,50000-100000
22780,0-20000
33327,0-20000
3293,200000-500000
13605,20000-50000
57418,0-20000
50926,0-20000
36920,0-20000
46075,0-20000
1346,500000-1000000
50204,0-20000
13030,20000-50000
3332,200000-500000
44195,0-20000
30111,0-20000
7921,50000-100000
49625,0-20000
9710,50000-100000
19581,0-20000
13332,20000-50000
51673,0-20000
12328,20000-50000
23275,0-20000
46353,0-20000
39365,0-20000
27796,0-20000
14396,20000-50000
33643,0-20000
31948,0-20000
53729,0-20000
9854,50000-100000
16653,20000-50000
19899,0-20000
17265,20000-50000
13907,20000-50000
24487,0-20000
53763,0-20000
44971,0-20000
7847,50000-100000
54862,0-20000
1178,500000-1000000
47856,0-20000
31555,0-20000
29060,0-20000
37756,0-20000
39449,0-20000
46825,0-20000
45103,0-20000
50598,0-20000
38028,0-20000
55238,0-20000
48585,0-20000
45302,0-20000
14931,20000-50000
22710,0-20000
7373,50000-100000
6208,100000-200000
5071,100000-200000
54553,0-20000
29088,0-20000
50793,0-20000
8622,50000-100000
40643,0-20000
11644,20000-50000
55180,0-20000
42636,0-20000
24462,0-20000
14303,20000-50000
23741,0-20000
15817,20000-50000
31499,0-20000
54236,0-20000
13635,20000-50000
23959,0-20000
12295,20000-50000
38744,0-20000
47302,0-20000
2083,200000-500000
13919,20000-50000
22707,0-20000
48369,0-20000
14751,20000-50000
16019,20000-50000
35412,0-20000
23512,0-20000
39221,0-20000
8396,100000-200000
15185,20000-50000
13371,20000-50000
24473,0-20000
56413,0-20000
47406,0-20000
22320,0-20000
40936,0-20000
32814,0-20000
51273,0-20000
6012,100000-200000
11484,20000-50000
1065,500000-1000000
36223,0-20000
44010,0-20000
36599,0-20000
38305,0-20000
55446,0-20000
8421,50000-100000
41204,0-20000
18115,20000-50000
22347,0-20000
57760,0-20000
10103,50000-100000
45736,0-20000
36182,0-20000
32716,0-20000
43584,0-20000
18788,0-20000
57191,0-20000
21543,0-20000
30957,0-20000
56707,0-20000
8987,50000-100000
7656,50000-100000
24906,0-20000
26928,0-20000
24239,0-20000
47823,0-20000
31180,0-20000
10131,50000-100000
53327,0-20000
47318,0-20000
20440,0-20000
25193,0-20000
47467,0-20000
56212,0-20000
6724,50000-100000
56073,0-20000
11213,20000-50000
55929,0-20000
48533,0-20000
54176,0-20000
29245,0-20000
23587,0-20000
37830,0-20000
10246,50000-100000
42328,0-20000
2755,200000-500000
30777,0-20000
44339,0-20000
54239,0-20000
16133,20000-50000
48583,0-20000
53956,0-20000
30231,0-20000
14888,20000-50000
28179,0-20000
48786,0-20000
32819,0-20000
43366,0-20000
18180,20000-50000
34196,0-20000
36221,0-20000
45203,0-20000
52200,0-20000
30520,0-20000
45927,0-20000
5673,100000-200000
5508,100000-200000
52437,0-20000
21020,0-20000
32670,0-20000
13667,20000-50000
18962,0-20000
48197,0-20000
27898,0-20000
54133,0-20000
29890,0-20000
52876,0-20000
14074,20000-50000
46438,0-20000
14573,20000-50000
8357,50000-100000
13265,20000-50000
32873,0-20000
18351,20000-50000
16034,20000-50000
8986,50000-100000
29952,0-20000
36679,0-20000
50103,0-20000
25047,0-20000
53697,0-20000
57989,0-20000
48076,0-20000
9645,50000-100000
24315,0-20000
2994,200000-500000
53058,0-20000
16731,20000-50000
31830,0-20000
16380,20000-50000
40858,0-20000
5088,100000-200000
39233,0-20000
3056,200000-500000
55577,0-20000
25228,0-20000
33674,0-20000
20472,0-20000
7426,50000-100000
53079,0-20000
4596,100000-200000
48606,0-20000
35932,0-20000
5646,100000-200000
55242,0-20000
8914,50000-100000
48521,0-20000
16687,20000-50000
44616,0-20000
10615,20000-50000
42106,0-20000
11710,20000-50000
27570,0-20000
45781,0-20000
22613,0-20000
51585,0-20000
23226,0-20000
22345,0-20000
50035,0-20000
46134,0-20000
48340,0-20000
47242,0-20000
11764,20000-50000
6643,100000-200000
8753,50000-100000
34721,0-20000
21497,0-20000
1450,500000-1000000
20105,0-20000
5193,100000-200000
9832,50000-100000
31105,0-20000
53625,0-20000
22575,0-20000
17870,20000-50000
48534,0-20000
6298,100000-200000
57282,0-20000
17955,20000-50000
43742,0-20000
18283,20000-50000
31905,0-20000
6260,100000-200000
12360,20000-50000
3973,100000-200000
23526,0-20000
29068,0-20000
21791,0-20000
39388,0-20000
40203,0-20000
31803,0-20000
7638,50000-100000
47765,0-20000
33439,0-20000
25513,0-20000
20622,0-20000
37730,0-20000
48102,0-20000
47881,0-20000
49117,0-20000
56046,0-20000
16457,20000-50000
1270,500000-1000000
27738,0-20000
47496,0-20000
34936,0-20000
38433,0-20000
57390,0-20000
3866,200000-500000
20819,0-20000
20042,0-20000
15363,20000-50000
57241,0-20000
41817,0-20000
48332,0-20000
9137,50000-100000
40772,0-20000
57031,50000-100000
4861,100000-200000
18821,0-20000
42502,0-20000
13915,20000-50000
2715,200000-500000
20196,0-20000
57929,0-20000
56437,0-20000
44100,0-20000
11172,20000-50000
43104,0-20000
9980,50000-100000
52294,0-20000
7340,50000-100000
52950,0-20000
53098,0-20000
11659,20000-50000
2876,200000-500000
11919,20000-50000
27373,0-20000
54448,0-20000
50271,0-20000
17433,20000-50000
41411,0-20000
38563,0-20000
46821,0-20000
39659,0-20000
34709,0-20000
7739,50000-100000
34571,0-20000
7900,50000-100000
16323,20000-50000
30570,0-20000
36333,0-20000
7205,50000-100000
58987,0-20000
54170,0-20000
34191,0-20000
38752,0-20000
32064,0-20000
10914,20000-50000
58725,0-20000
35376,0-20000
6421,100000-200000
33387,0-20000
21293,0-20000
2706,200000-500000
1032,500000-1000000
31938,0-20000
8653,50000-100000
49568,0-20000
18111,20000-50000
3900,200000-500000
3407,200000-500000
26722,0-20000
9129,50000-100000
50275,0-20000
16625,20000-50000
3770,200000-500000
53795,0-20000
11535,20000-50000
46463,0-20000
58975,0-20000
39066,0-20000
23327,0-20000
5426,100000-200000
46025,0-20000
43765,0-20000
37987,0-20000
41056,0-20000
2809,200000-500000
52319,0-20000
27375,0-20000
23957,0-20000
24162,0-20000
22304,0-20000
22010,0-20000
53726,0-20000
24376,0-20000
27012,0-20000
19060,0-20000
43950,0-20000
15254,20000-50000
30991,0-20000
18316,20000-50000
51416,0-20000
31400,0-20000
55463,0-20000
34221,0-20000
10198,50000-100000
20139,0-20000
29398,0-20000
13844,20000-50000
53474,0-20000
1351,500000-1000000
32371,0-20000
52346,0-20000
31126,0-20000
30137,0-20000
44818,0-20000
8330,50000-100000
16969,20000-50000
28090,0-20000
8651,50000-100000
18620,0-20000
46965,0-20000
9962,50000-100000
12210,20000-50000
33548,0-20000
19253,0-20000
51402,0-20000
16420,20000-50000
48152,0-20000
18746,0-20000
27054,0-20000
40469,0-20000
38995,0-20000
6069,100000-200000
44531,0-20000
25443,0-20000
56973,0-20000
47510,0-20000
43768,0-20000
6476,100000-200000
15014,20000-50000
31514,0-20000
42234,0-20000
9891,50000-100000
12659,20000-50000
22656,0-20000
16904,20000-50000
15977,20000-50000
35759,0-20000
20065,0-20000
6373,100000-200000
27585,0-20000
35088,0-20000
19684,0-20000
12504,20000-50000
28761,0-20000
40573,0-20000
15911,20000-50000
50232,0-20000
1720,500000-1000000
29582,0-20000
27283,0-20000
38944,0-20000
21867,0-20000
58436,0-20000
39810,0-20000
26090,0-20000
11391,20000-50000
53137,0-20000
994,>1000000
44810,0-20000
54274,0-20000
42504,0-20000
32391,0-20000
28601,0-20000
38057,0-20000
37068,0-20000
3296,200000-500000
31045,0-20000
57473,0-20000
34877,0-20000
13650,20000-50000
49319,0-20000
19013,0-20000
41627,0-20000
50280,0-20000
44614,0-20000
30881,0-20000
37551,0-20000
17742,20000-50000
3740,200000-500000
9022,50000-100000
57041,0-20000
27855,0-20000
33894,0-20000
47335,0-20000
31088,0-20000
47813,0-20000
3162,200000-500000
54012,0-20000
7055,50000-100000
56459,0-20000
21116,0-20000
9448,50000-100000
18491,0-20000
34018,0-20000
15635,20000-50000
58657,0-20000
53686,0-20000
27721,0-20000
40998,0-20000
9763,50000-100000
34687,0-20000
41115,0-20000
23359,0-20000
12521,20000-50000
16927,20000-50000
55553,0-20000
23246,0-20000
53946,0-20000
10550,20000-50000
47010,0-20000
49494,0-20000
45708,0-20000
3698,200000-500000
37604,0-20000
41082,0-20000
12989,20000-50000
24291,0-20000
30405,0-20000
11365,20000-50000
35172,0-20000
38530,0-20000
43775,0-20000
7575,50000-100000
52991,0-20000
21650,0-20000
57820,0-20000
53262,0-20000
32206,0-20000
55087,0-20000
12388,20000-50000
45575,0-20000
14362,20000-50000
34406,0-20000
40035,0-20000
16594,20000-50000
15906,20000-50000
13333,20000-50000
25556,0-20000
5458,0-20000
41045,0-20000
38153,0-20000
12213,20000-50000
33292,0-20000
8365,50000-100000
52687,0-20000
41093,0-20000
38442,0-20000
14114,20000-50000
33749,0-20000
14095,0-20000
19006,0-20000
12879,20000-50000
11069,20000-50000
5956,100000-200000
15656,20000-50000
17183,20000-50000
31474,0-20000
24174,0-20000
8325,50000-100000
27911,0-20000
39024,0-20000
8800,50000-100000
43656,0-20000
43974,0-20000
56992,0-20000
50964,0-20000
46543,0-20000
56283,0-20000
5616,100000-200000
28599,0-20000
3879,200000-500000
31757,0-20000
14799,20000-50000
54912,0-20000
17291,20000-50000
56740,0-20000
14475,20000-50000
30143,0-20000
17373,20000-50000
33195,0-20000
39060,0-20000
18609,0-20000
46548,0-20000
5953,100000-200000
51104,0-20000
48960,0-20000
29332,0-20000
4907,100000-200000
29717,0-20000
12672,20000-50000
27449,0-20000
18516,0-20000
42654,0-20000
11057,50000-100000
54977,0-20000
18639,0-20000
12597,20000-50000
2419,200000-500000
49378,0-20000
32192,0-20000
41388,0-20000
53506,0-20000
5027,100000-200000
51668,0-20000
19053,0-20000
34976,0-20000
19125,0-20000
872,>1000000
57319,0-20000
27062,0-20000
43367,0-20000
4914,100000-200000
12619,20000-50000
4071,200000-500000
7883,50000-100000
38184,0-20000
43149,0-20000
13827,20000-50000
29294,0-20000
14425,20000-50000
39428,0-20000
28496,0-20000
34518,0-20000
52739,0-20000
1161,500000-1000000
34342,0-20000
42071,0-20000
29609,0-20000
21394,0-20000
2673,200000-500000
3406,200000-500000
23236,0-20000
42766,0-20000
36661,0-20000
3199,200000-500000
3734,200000-500000
8563,50000-100000
47890,0-20000
32855,0-20000
12129,20000-50000
18669,0-20000
38910,0-20000
47996,0-20000
37993,0-20000
54906,0-20000
3682,200000-500000
4489,100000-200000
55740,0-20000
21577,0-20000
12445,20000-50000
14172,20000-50000
28203,0-20000
32179,0-20000
56923,0-20000
32420,0-20000
46774,0-20000
9928,20000-50000
24142,0-20000
5198,100000-200000
16776,20000-50000
41674,0-20000
19062,0-20000
58955,0-20000
1993,200000-500000
52681,0-20000
38593,0-20000
8234,50000-100000
37978,0-20000
8242,50000-100000
9122,50000-100000
13930,20000-50000
19326,0-20000
7318,50000-100000
14937,20000-50000
41635,0-20000
9344,50000-100000
14892,20000-50000
30245,0-20000
53309,0-20000
36554,0-20000
21201,0-20000
2539,100000-200000
434,>1000000
42786,0-20000
4288,100000-200000
32875,0-20000
53984,0-20000
27586,0-20000
24091,0-20000
10437,50000-100000
10060,50000-100000
17629,20000-50000
25532,0-20000
6640,100000-200000
32969,0-20000
38388,0-20000
55319,0-20000
14846,20000-50000
42238,0-20000
23261,0-20000
55787,0-20000
54440,0-20000
47699,0-20000
33388,0-20000
12978,20000-50000
1651,500000-1000000
19378,0-20000
6680,50000-100000
14305,20000-50000
27684,0-20000
49593,0-20000
43709,0-20000
43802,0-20000
16411,20000-50000
9825,50000-100000
51768,0-20000
33845,0-20000
14186,20000-50000
11092,20000-50000
541,>1000000
580,>1000000
31716,0-20000
25889,0-20000
1128,500000-1000000
95,>1000000
25828,0-20000
45603,0-20000
27922,0-20000
33434,0-20000
57050,0-20000
45229,0-20000
43436,0-20000
35669,0-20000
36668,0-20000
20779,0-20000
18751,0-20000
46562,0-20000
39407,0-20000
53117,0-20000
17711,20000-50000
37590,0-20000
19691,0-20000
24285,0-20000
56733,0-20000
40122,0-20000
21420,20000-50000
13409,20000-50000
12631,20000-50000
11106,20000-50000
46201,0-20000
9155,50000-100000
2901,200000-500000
34161,0-20000
12250,20000-50000
32248,0-20000
44968,0-20000
56855,0-20000
55022,0-20000
51200,0-20000
9510,50000-100000
2457,200000-500000
13904,20000-50000
49884,0-20000
41441,0-20000
33672,0-20000
44536,0-20000
31402,0-20000
20788,0-20000
11083,20000-50000
24499,0-20000
50504,0-20000
57486,0-20000
21345,0-20000
8192,50000-100000
29305,0-20000
18363,0-20000
44650,0-20000
23540,0-20000
4449,100000-200000
29604,0-20000
27290,0-20000
27402,0-20000
19002,0-20000
10741,20000-50000
33019,0-20000
6927,0-20000
49215,0-20000
13185,20000-50000
19570,0-20000
35178,0-20000
42311,0-20000
5594,100000-200000
23639,0-20000
40034,0-20000
35047,0-20000
29658,0-20000
38377,0-20000
56675,0-20000
7151,50000-100000
4753,100000-200000
38577,0-20000
42362,0-20000
52411,0-20000
45463,0-20000
54785,0-20000
58988,0-20000
11227,20000-50000
13240,20000-50000
56047,0-20000
32992,0-20000
32564,0-20000
23374,0-20000
15341,20000-50000
27289,0-20000
21588,0-20000
41731,0-20000
46951,0-20000
38497,0-20000
53552,0-20000
41271,0-20000
22017,0-20000
21911,0-20000
17598,20000-50000
27934,0-20000
48103,0-20000
51358,0-20000
37881,0-20000
9566,50000-100000
1569,500000-1000000
50907,0-20000
40744,0-20000
49323,0-20000
37601,0-20000
20364,0-20000
22567,0-20000
42877,0-20000
4703,100000-200000
28034,0-20000
909,>1000000
41794,0-20000
48677,0-20000
45535,0-20000
52785,0-20000
32350,0-20000
12914,20000-50000
45087,0-20000
46959,0-20000
12680,20000-50000
5743,100000-200000
1427,500000-1000000
33784,0-20000
15939,20000-50000
14880,20000-50000
52751,0-20000
41853,0-20000
35267,0-20000
45624,0-20000
48863,0-20000
24709,0-20000
12737,20000-50000
29468,0-20000
5400,100000-200000
30206,0-20000
57607,0-20000
49109,0-20000
34893,0-20000
57617,0-20000
13433,20000-50000
53503,0-20000
53778,0-20000
47980,0-20000
44088,0-20000
34039,0-20000
40900,0-20000
28354,0-20000
28060,0-20000
15836,20000-50000
49242,0-20000
39693,0-20000
46598,0-20000
35298,0-20000
41628,0-20000
10985,20000-50000
25009,0-20000
38535,0-20000
17842,20000-50000
10385,50000-100000
16409,50000-100000
29326,0-20000
34246,0-20000
17489,20000-50000
52773,0-20000
34166,0-20000
45185,0-20000
9164,50000-100000
55116,0-20000
38610,0-20000
12692,0-20000
19890,0-20000
10636,20000-50000
43319,0-20000
19850,0-20000
12365,20000-50000
53845,0-20000
40406,0-20000
2295,200000-500000
21799,0-20000
15494,20000-50000
24780,0-20000
41006,0-20000
39409,0-20000
18184,20000-50000
6480,50000-100000
49486,0-20000
38451,0-20000
18371,0-20000
57727,0-20000
23383,0-20000
42151,0-20000
25007,0-20000
40660,0-20000
39264,0-20000
54237,0-20000
28647,0-20000
5429,100000-200000
36795,0-20000
24864,0-20000
19432,20000-50000
50641,0-20000
23412,0-20000
27075,0-20000
33340,0-20000
37579,0-20000
6066,100000-200000
46773,0-20000
56918,0-20000
31106,0-20000
24140,0-20000
36470,0-20000
27808,0-20000
27510,0-20000
17306,20000-50000
31304,0-20000
28424,0-20000
42281,0-20000
40635,0-20000
58997,0-20000
44730,0-20000
14632,20000-50000
52070,0-20000
15435,20000-50000
38434,0-20000
33742,0-20000
8762,50000-100000
58304,0-20000
14504,20000-50000
31204,0-20000
7777,50000-100000
936,>1000000
31768,0-20000
36611,0-20000
11240,20000-50000
5123,100000-200000
46155,0-20000
49284,0-20000
34860,0-20000
12675,20000-50000
30662,0-20000
56518,0-20000
13645,20000-50000
22420,0-20000
32276,0-20000
9530,50000-100000
17499,20000-50000
14170,20000-50000
6398,100000-200000
37526,0-20000
28345,0-20000
17755,20000-50000
9986,50000-100000
12307,20000-50000
31627,0-20000
22491,0-20000
22979,0-20000
18808,0-20000
3862,200000-500000
20316,0-20000
29280,0-20000
8984,50000-100000
4790,100000-200000
17520,20000-50000
38771,0-20000
35846,0-20000
43077,0-20000
56929,20000-50000
43144,0-20000
54395,0-20000
9668,50000-100000
9672,50000-100000
31159,0-20000
17717,20000-50000
58336,0-20000
